Country Name,Country Code,Year,Ratio
Sierra Leone,SLE,2016,96.10124551
Singapore,SGP,2016,79.61688312
Slovak Republic,SVK,2016,76.5244172
Slovenia,SVN,2016,82.88672544
Solomon Islands,SLB,2016,95.72897565
Somalia,SOM,2016,44.00344039
South Africa,ZAF,2016,78.40912585
South Sudan,SSD,2016,94.48365772
Spain,ESP,2016,81.0585988
Sri Lanka,LKA,2016,47.92717999
St. Lucia,LCA,2016,84.38546595
St. Vincent and the Grenadines,VCT,2016,71.08572335
Sudan,SDN,2016,34.93341314
Suriname,SUR,2016,66.56966279
Sweden,SWE,2016,89.96569596
Switzerland,CHE,2016,83.95374197
Syrian Arab Republic,SYR,2016,20.112168
Tajikistan,TJK,2016,60.10907529
Tanzania,TZA,2016,91.08397571
Thailand,THA,2016,78.37067837
Timor-Leste,TLS,2016,84.69642783
Togo,TGO,2016,91.7929522
Tonga,TON,2016,63.5216231
Trinidad and Tobago,TTO,2016,69.67177947
Tunisia,TUN,2016,37.40602582
Turkiye,TUR,2016,44.00986215
Turkmenistan,TKM,2016,103.4666948
Uganda,UGA,2016,94.93846713
Ukraine,UKR,2016,79.50616504
United Arab Emirates,ARE,2016,52.30528784
United Kingdom,GBR,2016,83.29489534
United States,USA,2016,81.49712987
Uruguay,URY,2016,75.68323274
Uzbekistan,UZB,2016,55.35405048
Vanuatu,VUT,2016,83.69829684
"Venezuela, RB",VEN,2016,63.86694717
Viet Nam,VNM,2016,88.40773141
Virgin Islands (U.S.),VIR,2016,83.15313636
West Bank and Gaza,PSE,2016,25.42126301
"Yemen, Rep.",YEM,2016,8.90039827
Zambia,ZMB,2016,78.53056901
Zimbabwe,ZWE,2016,82.65615607
Afghanistan,AFG,2017,28.93693546
Albania,ALB,2017,74.50974517
Algeria,DZA,2017,21.7322122
Angola,AGO,2017,94.34526867
Argentina,ARG,2017,67.6939245
Armenia,ARM,2017,80.61513674
Australia,AUS,2017,84.58278595
Austria,AUT,2017,83.55775617
Azerbaijan,AZE,2017,91.2414754
"Bahamas, The",BHS,2017,83.97459371
Bahrain,BHR,2017,49.89502908
Bangladesh,BGD,2017,45.05263675
Barbados,BRB,2017,88.99726605
Belarus,BLR,2017,81.91736369
Belgium,BEL,2017,81.38083121
Belize,BLZ,2017,61.41017069
Benin,BEN,2017,96.96050243
Bhutan,BTN,2017,78.92274023
Bolivia,BOL,2017,75.68079686
Bosnia and Herzegovina,BIH,2017,62.92592593
Botswana,BWA,2017,83.29613584
Brazil,BRA,2017,72.3163917
Brunei Darussalam,BRN,2017,79.8707256
Bulgaria,BGR,2017,80.43848412
Burkina Faso,BFA,2017,77.63758187
Burundi,BDI,2017,102.5951207
Cabo Verde,CPV,2017,78.59775254
Cambodia,KHM,2017,87.98834759
Cameroon,CMR,2017,82.68873701
Canada,CAN,2017,86.45893795
Central African Republic,CAF,2017,79.60044099
Chad,TCD,2017,68.25262398
Channel Islands,CHI,2017,78.06369964
Chile,CHL,2017,69.5261899
China,CHN,2017,82.93503014
Colombia,COL,2017,69.49588214
Comoros,COM,2017,62.87785718
"Congo, Dem. Rep.",COD,2017,89.78533249
"Congo, Rep.",COG,2017,95.17277876
Costa Rica,CRI,2017,61.76585353
Cote d'Ivoire,CIV,2017,77.40954124
Croatia,HRV,2017,77.75203378
Cuba,CUB,2017,64.9001766
Cyprus,CYP,2017,84.44836185
Czechia,CZE,2017,76.18448944
Denmark,DNK,2017,87.47557077
Djibouti,DJI,2017,38.72468469
Dominican Republic,DOM,2017,64.42957432
Ecuador,ECU,2017,69.90430205
"Egypt, Arab Rep.",EGY,2017,32.8267882
El Salvador,SLV,2017,60.03882566
Equatorial Guinea,GNQ,2017,79.63407407
Eritrea,ERI,2017,85.29842956
Estonia,EST,2017,80.83893474
Eswatini,SWZ,2017,85.34326555
Ethiopia,ETH,2017,79.05991092
Fiji,FJI,2017,50.19228012
Finland,FIN,2017,88.09977426
France,FRA,2017,83.92626239
French Polynesia,PYF,2017,78.73946064
Gabon,GAB,2017,69.8570926
"Gambia, The",GMB,2017,87.02416097
Georgia,GEO,2017,73.36550496
Germany,DEU,2017,83.04541005
Ghana,GHA,2017,90.35164278
Greece,GRC,2017,74.43910392
Guam,GUM,2017,82.26886089
Guatemala,GTM,2017,45.98172864
Guinea,GIN,2017,69.21874516
Guinea-Bissau,GNB,2017,80.23249188
Guyana,GUY,2017,62.66856866
Haiti,HTI,2017,88.83454184
Honduras,HND,2017,55.16322693
"Hong Kong SAR, China",HKG,2017,80.76411469
Hungary,HUN,2017,78.0674659
Iceland,ISL,2017,89.63343797
India,IND,2017,34.38324282
Indonesia,IDN,2017,63.7118536
"Iran, Islamic Rep.",IRN,2017,24.70045821
Iraq,IRQ,2017,15.43805165
Ireland,IRL,2017,81.16367353
Israel,ISR,2017,84.99520614
Italy,ITA,2017,68.6929731
Jamaica,JAM,2017,80.30805492
Japan,JPN,2017,72.44913895
Jordan,JOR,2017,26.95702973
Kazakhstan,KAZ,2017,87.12078508
Kenya,KEN,2017,90.37143271
"Korea, Dem. People's Rep.",PRK,2017,89.35377875
"Korea, Rep.",KOR,2017,72.89245983
Kuwait,KWT,2017,56.72970221
Kyrgyz Republic,KGZ,2017,67.09868421
Lao PDR,LAO,2017,88.16216046
Latvia,LVA,2017,81.21294357
Lebanon,LBN,2017,39.80779467
Lesotho,LSO,2017,74.40800541
Liberia,LBR,2017,87.79229334
Libya,LBY,2017,53.10975705
Lithuania,LTU,2017,84.04751867
Luxembourg,LUX,2017,85.41804544
"Macao SAR, China",MAC,2017,86.0483294
Madagascar,MDG,2017,94.07304994
Malawi,MWI,2017,87.77083997
Malaysia,MYS,2017,66.00380982
Maldives,MDV,2017,56.29040072
Mali,MLI,2017,72.11492935
Malta,MLT,2017,67.15670531
Mauritania,MRT,2017,45.58575478
Mauritius,MUS,2017,61.81764093
Mexico,MEX,2017,55.76261871
Moldova,MDA,2017,97.13758878
Mongolia,MNG,2017,80.03615428
Montenegro,MNE,2017,74.52328853
Morocco,MAR,2017,32.77064059
Mozambique,MOZ,2017,97.78372564
Myanmar,MMR,2017,62.10774604
Namibia,NAM,2017,86.2548623
Nepal,NPL,2017,50.79335793
Netherlands,NLD,2017,85.17326317
New Caledonia,NCL,2017,85.29922676
New Zealand,NZL,2017,85.15370895
Nicaragua,NIC,2017,59.52594243
Niger,NER,2017,72.01979148
Nigeria,NGA,2017,90.14724127
North Macedonia,MKD,2017,62.6372625
Norway,NOR,2017,91.50364489
Oman,OMN,2017,34.5947722
Pakistan,PAK,2017,28.23478898
Panama,PAN,2017,65.56691975
Papua New Guinea,PNG,2017,95.82058726
Paraguay,PRY,2017,68.6425291
Peru,PER,2017,81.87471239
Philippines,PHL,2017,61.26487589
Poland,POL,2017,74.71403682
Portugal,PRT,2017,83.74747632
Puerto Rico,PRI,2017,65.20339777
Qatar,QAT,2017,60.25663837
Romania,ROU,2017,70.68625051
Russian Federation,RUS,2017,77.78683456
